GeogName,Population,PopUnder18,PopOver65,MedianAge,PopHispanic,PopNotHisp,PopWhite,PopBlack,PopAsian,PopOTHER,Income0_49,Income_50_99,Income_100_199,Income_200up,EduOther,GardenCounts
Allerton-Pelham Gardens,32450.0,6824.0,5659.0,40.7,11096.0,21354.0,7178.0,10659.0,2648.0,869.0,3854.0,2997.0,2060.0,508.0,14672.0,1
Bedford Park-Fordham North,55995.0,15006.0,4347.0,31.7,40184.0,15811.0,3237.0,9285.0,2133.0,1156.0,12642.0,5134.0,1392.0,196.0,27336.0,3
Belmont,29372.0,8177.0,1865.0,25.1,18281.0,11091.0,5706.0,4359.0,553.0,473.0,7160.0,1331.0,588.0,37.0,11917.0,1
Bronxdale,37595.0,8630.0,4974.0,35.4,21093.0,16502.0,4241.0,10019.0,1221.0,1021.0,8786.0,3637.0,1324.0,33.0,18801.0,0
Claremont-Bathgate,34815.0,11999.0,2543.0,27.4,20330.0,14485.0,400.0,13757.0,15.0,313.0,8701.0,1708.0,434.0,0.0,15422.0,6
Co-op City,48541.0,8656.0,10685.0,45.3,13575.0,34966.0,3418.0,29521.0,566.0,1461.0,10606.0,5613.0,2971.0,245.0,23052.0,0
Crotona Park East,21745.0,6040.0,1969.0,31.3,14777.0,6968.0,206.0,6319.0,240.0,203.0,5741.0,1275.0,465.0,52.0,10927.0,5
East Concourse-Concourse Village,64516.0,17479.0,6969.0,32.3,38260.0,26256.0,1009.0,22323.0,1601.0,1323.0,15746.0,4857.0,1347.0,230.0,31009.0,9
East Tremont,44510.0,13105.0,4516.0,30.1,30476.0,14034.0,681.0,12728.0,358.0,267.0,11529.0,2603.0,547.0,100.0,21471.0,13
Eastchester-Edenwald-Baychester,35172.0,8117.0,4253.0,35.2,8536.0,26636.0,1242.0,23328.0,1086.0,980.0,5709.0,3461.0,1987.0,290.0,14544.0,1
Fordham South,28434.0,8622.0,1818.0,28.2,20613.0,7821.0,340.0,7092.0,120.0,269.0,6733.0,1654.0,448.0,95.0,13193.0,3
Highbridge,39144.0,12034.0,2975.0,30.6,25647.0,13497.0,664.0,12517.0,112.0,204.0,9528.0,2831.0,764.0,119.0,18117.0,10
Hunts Point,26531.0,7580.0,2413.0,30.1,19396.0,7135.0,263.0,6513.0,174.0,185.0,6776.0,1307.0,321.0,41.0,12683.0,3
Kingsbridge Heights,31294.0,7626.0,3370.0,33.3,23479.0,7815.0,1299.0,4835.0,1068.0,613.0,7381.0,2606.0,773.0,122.0,15619.0,1
Longwood,28961.0,8617.0,2521.0,30.5,21561.0,7400.0,330.0,6348.0,408.0,314.0,6700.0,1819.0,451.0,70.0,14351.0,3
Melrose South-Mott Haven North,43244.0,13699.0,3663.0,28.4,27262.0,15982.0,628.0,14211.0,261.0,882.0,11197.0,2132.0,721.0,243.0,19937.0,15
Morrisania-Melrose,39939.0,11007.0,3339.0,31.6,24309.0,15630.0,589.0,14149.0,209.0,683.0,9935.0,2772.0,898.0,131.0,19383.0,13
Mott Haven-Port Morris,55080.0,17134.0,4585.0,28.9,39533.0,15547.0,836.0,13870.0,320.0,521.0,14710.0,2829.0,857.0,84.0,26421.0,8
Mount Hope,52973.0,14686.0,3985.0,30.4,36161.0,16812.0,809.0,14155.0,923.0,925.0,12893.0,3458.0,716.0,68.0,25302.0,4
North Riverdale-Fieldston-Riverdale,27145.0,5161.0,6025.0,41.7,5926.0,21219.0,17274.0,1660.0,1792.0,493.0,3072.0,3260.0,2982.0,1370.0,6959.0,0
Norwood,42666.0,11651.0,3947.0,32.3,26850.0,15816.0,4087.0,5853.0,4780.0,1096.0,9931.0,3536.0,1028.0,168.0,19990.0,1
park-cemetery-etc-Bronx,1777.0,408.0,150.0,34.3,1018.0,759.0,211.0,522.0,26.0,0.0,367.0,235.0,68.0,43.0,764.0,1
Parkchester,30826.0,6377.0,3577.0,37.4,11741.0,19085.0,617.0,12700.0,4790.0,978.0,6293.0,4578.0,1737.0,81.0,14425.0,1
Pelham Bay-Country Club-City Island,26172.0,4472.0,5466.0,44.9,10188.0,15984.0,13506.0,940.0,1349.0,189.0,4524.0,3477.0,2645.0,489.0,12896.0,0
Pelham Parkway,29947.0,6249.0,3918.0,35.7,13139.0,16808.0,9619.0,4047.0,2776.0,366.0,5288.0,3451.0,2075.0,511.0,13071.0,0
Rikers Island,7503.0,267.0,33.0,32.0,2240.0,5263.0,510.0,4496.0,135.0,122.0,0.0,0.0,0.0,0.0,5205.0,0
Schuylerville-Throgs Neck-Edgewater Park,47580.0,9808.0,7407.0,39.0,21588.0,25992.0,18892.0,4396.0,1697.0,1007.0,6328.0,4812.0,4365.0,1022.0,21488.0,0
Soundview-Bruckner,37866.0,10597.0,3863.0,31.5,23469.0,14397.0,941.0,9498.0,2441.0,1517.0,8328.0,2339.0,1094.0,59.0,18979.0,1
Soundview-Castle Hill-Clason Point-Harding Park,56552.0,13631.0,7366.0,35.5,34288.0,22264.0,1345.0,19112.0,999.0,808.0,11916.0,4529.0,2508.0,237.0,27332.0,4
Spuyten Duyvil-Kingsbridge,31508.0,6242.0,6404.0,40.0,12297.0,19211.0,13851.0,2910.0,1649.0,801.0,4756.0,4086.0,3257.0,1072.0,10750.0,1
University Heights-Morris Heights,55575.0,15731.0,4448.0,30.6,37471.0,18104.0,585.0,16229.0,959.0,331.0,14751.0,3278.0,908.0,135.0,26022.0,4
Van Cortlandt Village,51157.0,12147.0,5746.0,34.3,34206.0,16951.0,4457.0,9067.0,2273.0,1154.0,10153.0,5634.0,1868.0,208.0,23987.0,1
Van Nest-Morris Park-Westchester Square,29509.0,7685.0,3068.0,34.0,15483.0,14026.0,7212.0,3156.0,3149.0,509.0,4990.0,2690.0,1590.0,160.0,13130.0,0
West Concourse,37395.0,10278.0,2863.0,31.4,26440.0,10955.0,710.0,8644.0,679.0,922.0,9679.0,2721.0,595.0,100.0,17668.0,0
West Farms-Bronx River,35752.0,9474.0,3741.0,33.0,23099.0,12653.0,1182.0,8977.0,1528.0,966.0,8358.0,2630.0,842.0,35.0,19117.0,0
Westchester-Unionport,28437.0,6766.0,3407.0,34.0,18093.0,10344.0,1121.0,4304.0,3612.0,1307.0,4882.0,2800.0,1102.0,289.0,13515.0,0
Williamsbridge-Olinville,65043.0,16285.0,7851.0,34.7,16401.0,48642.0,1526.0,45020.0,784.0,1312.0,12540.0,5723.0,2923.0,297.0,30068.0,1
Woodlawn-Wakefield,44064.0,9164.0,6194.0,38.9,7687.0,36377.0,7179.0,26165.0,1937.0,1096.0,6601.0,4631.0,3161.0,470.0,19825.0,0
