,address,coords,lat,long,borough,geometry,index_right,ntacode,shape_area,county_fips,ntaname,shape_leng,boro_name,boro_code
30,"134 Scholes St<br />
","40.708459,-73.944227",40.708459000000005,-73.944227,Brooklyn,POINT (-73.944227 40.708459),155,BK90,39132793.3903,047,East Williamsburg,49247.0278644,Brooklyn,3
32,88 Williams Ave.,"40.674219,-73.900638",40.674219,-73.900638,Brooklyn,POINT (-73.900638 40.674219),56,BK85,19397526.0994,047,East New York (Pennsylvania Ave),24226.8514567,Brooklyn,3
33,"105 East 103rd St<br />
","40.79095,-73.948591",40.79095,-73.94859100000001,Manhattan,POINT (-73.94859100000001 40.79095),179,MN33,16650687.1713,061,East Harlem South,18624.6644894,Manhattan,1
35,171 E. 110th St.,"40.794534,-73.943176",40.794534000000006,-73.943176,Manhattan,POINT (-73.94317599999999 40.79453400000001),179,MN33,16650687.1713,061,East Harlem South,18624.6644894,Manhattan,1
40,"176 East 111th St<br />
","40.794874,-73.943143",40.794874,-73.943143,Manhattan,POINT (-73.94314300000001 40.794874),179,MN33,16650687.1713,061,East Harlem South,18624.6644894,Manhattan,1
34,"415 East 117th St<br />
","40.796383,-73.934178",40.796383,-73.934178,Manhattan,POINT (-73.934178 40.796383),194,MN34,24494898.3167,061,East Harlem North,30603.7187701,Manhattan,1
36,431 E. 114th St.,"40.794273,-73.934774",40.794273,-73.934774,Manhattan,POINT (-73.934774 40.794273),194,MN34,24494898.3167,061,East Harlem North,30603.7187701,Manhattan,1
42,"223 East 119th St<br />
","40.799657,-73.937471",40.799657,-73.937471,Manhattan,POINT (-73.937471 40.799657),194,MN34,24494898.3167,061,East Harlem North,30603.7187701,Manhattan,1
43,326 Pleasant Ave.,"40.796076,-73.932037",40.796076,-73.932037,Manhattan,POINT (-73.93203699999999 40.796076),194,MN34,24494898.3167,061,East Harlem North,30603.7187701,Manhattan,1
46,"437 East 114th St<br />
","40.794155,-73.934501",40.794154999999996,-73.934501,Manhattan,POINT (-73.934501 40.794155),194,MN34,24494898.3167,061,East Harlem North,30603.7187701,Manhattan,1
49,421 E. 117th St.,"40.796482,-73.933859",40.796482,-73.933859,Manhattan,POINT (-73.933859 40.796482),194,MN34,24494898.3167,061,East Harlem North,30603.7187701,Manhattan,1
37,"Riverside Drive to Broadway, West 192nd Street to Dyckman Street","40.8608,-73.9325",40.8608,-73.9325,Manhattan,POINT (-73.9325 40.8608),178,MN35,22667347.358,061,Washington Heights North,26683.6620231,Manhattan,1
38,"Riverside Drive, Hudson River, W. 155 Street to Dyckman Street","40.85067314,-73.94526352",40.85067314,-73.94526352,Manhattan,POINT (-73.94526352 40.85067314),178,MN35,22667347.358,061,Washington Heights North,26683.6620231,Manhattan,1
39,499 W. 150th St. ,"40.828799,-73.945644",40.828799,-73.945644,Manhattan,POINT (-73.945644 40.828799),172,MN04,16096136.1275,061,Hamilton Heights,17411.3810346,Manhattan,1
44,564 West 149th St.,"40.828528,-73.948127",40.828528000000006,-73.948127,Manhattan,POINT (-73.948127 40.82852800000001),172,MN04,16096136.1275,061,Hamilton Heights,17411.3810346,Manhattan,1
41,"29 Dyckman St<br />
","40.859082,-73.924185",40.859082,-73.924185,Manhattan,POINT (-73.92418499999999 40.859082),184,MN99,91543352.0019,061,park-cemetery-etc-Manhattan,155354.847906,Manhattan,1
47,"3725 10th Ave, New York, NY 10034","40.859835,-73.9243317",40.859835,-73.92433170000001,Manhattan,POINT (-73.92433170000001 40.859835),184,MN99,91543352.0019,061,park-cemetery-etc-Manhattan,155354.847906,Manhattan,1
45,"3703 10th Ave (Sherman Creek Park)<br />
","40.858911,-73.922823",40.858911,-73.922823,Manhattan,POINT (-73.92282299999999 40.858911),131,MN01,17732688.7312,061,Marble Hill-Inwood,31844.4139881,Manhattan,1
48,"174 Suffolk St<br />
","40.721016,-73.985003",40.721016,-73.985003,Manhattan,POINT (-73.98500300000001 40.721016),84,MN27,14501867.8828,061,Chinatown,20786.2563855,Manhattan,1
50,603 E. 11th St.,"40.727477,-73.978997",40.727477,-73.97899699999999,Manhattan,POINT (-73.97899699999999 40.727477),127,MN28,23297284.2537,061,Lower East Side,25466.6920793,Manhattan,1
51,"117-15 165th St<br />
","40.684517,-73.780779",40.684517,-73.78077900000001,Queens,POINT (-73.78077900000001 40.684517),66,QN76,44042791.304,081,Baisley Park,31474.9585887,Queens,4
52,"178-22 Linden Blvd<br />
","40.69241,-73.769647",40.692409999999995,-73.76964699999999,Queens,POINT (-73.76964699999999 40.69241),13,QN08,77412747.3882,081,St. Albans,45401.3169492,Queens,4
53,253-13 Pembroke Ave,"40.770886,-73.73416",40.770886,-73.73416,Queens,POINT (-73.73416 40.770886),108,QN45,68394169.9666,081,Douglas Manor-Douglaston-Little Neck,45784.4572683,Queens,4
54,30-03 Seagirt Blvd.,"40.595587,-73.763345",40.595587,-73.763345,Queens,POINT (-73.763345 40.595587),148,QN12,61894959.3738,081,Hammels-Arverne-Edgemere,83804.728347,Queens,4
55,143 Westervelt Ave.,"40.6441984,-74.0847242",40.6441984,-74.08472420000001,Staten Island,POINT (-74.08472420000001 40.6441984),96,SI22,56030444.5951,085,West New Brighton-New Brighton-St. George,66054.2541824,Staten Island,5
