,GeoType,NTA,GeoID,Borough,Pop_1E,MaleEN,FemEN,PopUnd18N,PopOv65N,HispN,NotHispN,WhiteN,BlackN,NativeN,AsianN,PacificN,OtherRace1N,OtherRace2N,HHPop,HHINC_U10N,HHINC_10t14N,HHINC_15t24N,HHINC_25t34N,HHINC_35t49N,HHINC_50t74N,HHINC_75t99N,HHINC_100t149N,HHINC_150t199N,HHINC_200plN,Pop16yrsOver,Labor_forceN,CivilianLF,CLF_UnemployedN,PopOver25,EduOtherN,EduBachelor,EduGradProf,GardenCounts,HasGarden
0,NTA2010,Bath Beach,BK27,Brooklyn,33163.0,0.503151102131894,0.49684889786810604,0.21418448270663087,0.14739317914543315,0.17673310617254168,0.8232668938274583,0.4369327262310406,0.012182251304164279,0.0003316949612519977,0.36109519645387933,0.0008744685342098121,0.0021409402044447125,0.00970961613846757,11428.0,0.07831641582079103,0.05407770388519426,0.10701785089254463,0.08111655582779138,0.1128806440322016,0.18148407420371018,0.11830591529576479,0.15383269163458174,0.06177808890444522,0.05119005950297515,26855.0,0.5960156395457085,15985.0,0.07056615577103535,23822.0,0.6637981697590463,0.22437242884728403,0.11182940139366972,0.0,0.0
1,NTA2010,Bay Ridge,BK31,Brooklyn,79134.0,0.47803725326661106,0.5219627467333889,0.190941946571638,0.15644350089721232,0.17860843632319862,0.8213915636768013,0.6343291126443754,0.019094194657163797,0.0022872595850077083,0.1455126747036672,0.0002400990724593727,0.0019081557863876463,0.01802006722774029,33487.0,0.06907158001612566,0.04697345238450742,0.09660465255173649,0.09099053363991996,0.10577238928539433,0.16633320392988324,0.12267447069011855,0.14414548929435303,0.0745662495893929,0.0828679786185684,65479.0,0.6441149070694421,42057.0,0.07492212949092898,58178.0,0.5357351576197188,0.2719756609027467,0.19228918147753446,0.0,0.0
2,NTA2010,Bedford,BK75,Brooklyn,75318.0,0.48449241881090843,0.5155075811890916,0.29712684882763746,0.07721925701691494,0.19493348203616664,0.8050665179638333,0.3506067606681006,0.40582596457686076,0.0008762845534931889,0.030404418598475796,0.0,0.0019782787647043202,0.015374810802198678,26059.0,0.14094938408994973,0.08891361909513028,0.12989754019724473,0.09628151502360029,0.1198818066694808,0.1422157412026555,0.08707164511301278,0.10925208181434437,0.04585747726313366,0.03967918953144787,54904.0,0.6737760454611685,36960.0,0.12502705627705626,44766.0,0.6781932716793996,0.20435151677612473,0.11745521154447572,23.0,1.0
3,NTA2010,Bensonhurst East,BK29,Brooklyn,64267.0,0.4867661474784882,0.5132338525215118,0.19874896914435092,0.15726578181648435,0.12328255558840462,0.8767174444115954,0.46515318903947594,0.008262405277980923,0.0,0.3867925996234459,0.0,0.005414909673705012,0.011094340796987567,22187.0,0.10618830846892324,0.06368594221841618,0.12250416910803624,0.09848109253166269,0.11966466849957182,0.17568846621895703,0.11529273899130121,0.10889259476269887,0.05156172533465543,0.03804029386577726,52857.0,0.6054827175208581,31983.0,0.08520151330394272,46010.0,0.6981525755270593,0.20456422516844164,0.09728319930449902,1.0,1.0
4,NTA2010,Bensonhurst West,BK28,Brooklyn,91646.0,0.4872116622656744,0.5127883377343255,0.21046199506797897,0.1426248827008271,0.14597472884795845,0.8540252711520415,0.42677258145472796,0.00874015232525151,0.0012111821574318574,0.4051677105383759,0.0,0.0034807847587456082,0.008652859917508676,29909.0,0.07790297234946003,0.058377077133973054,0.11310976629108295,0.10852920525594302,0.13494265940018055,0.17108562640008024,0.11461433013474205,0.12514627704035575,0.05513390618208566,0.04115817981209669,74470.0,0.6155767423123405,45833.0,0.08834246067244125,65016.0,0.7376184323858742,0.18879968007874984,0.07358188753537591,2.0,1.0
5,NTA2010,Borough Park,BK88,Brooklyn,105913.0,0.5101545608187852,0.48984543918121476,0.3934455638118078,0.101460632783511,0.09672089356358521,0.9032791064364148,0.757130852680974,0.008931859167429872,0.0013218396230868731,0.12853946163360494,0.0,0.0015295572781433818,0.00582553605317572,27422.0,0.08051929108015463,0.09590839471956823,0.16844139741813144,0.13963241193202539,0.12551965575085697,0.14178396907592444,0.08099336299321712,0.10032091021807309,0.035664794690394575,0.031215812121654148,67904.0,0.5748262252591895,39033.0,0.057310480875156916,54026.0,0.8118683596786732,0.11113167734053973,0.07699996298078703,2.0,1.0
6,NTA2010,Brighton Beach,BK19,Brooklyn,34157.0,0.4752759317270252,0.5247240682729748,0.18458881049272477,0.22847439763445268,0.11426647539303803,0.885733524606962,0.6952015692244635,0.00764118628685189,0.004362209795942267,0.14945691951869308,0.0,0.004157273765260415,0.024914366015750797,14097.0,0.19727601617365398,0.09959565865077676,0.10796623395048592,0.09030290132652337,0.09867347662623253,0.15230190820742,0.07058239341703909,0.08711073278002412,0.04887564730084415,0.04731503156700007,28462.0,0.5388588293162814,15312.0,0.07810867293625914,25518.0,0.5896230112077749,0.2635394623403088,0.1468375264519163,0.0,0.0
7,NTA2010,Brooklyn Heights-Cobble Hill,BK09,Brooklyn,24140.0,0.4971830985915493,0.5028169014084507,0.1355426677713339,0.1331400165700083,0.08073736536868269,0.9192626346313173,0.7233222866611433,0.049585749792874896,0.0,0.0963960231980116,0.00041425020712510354,0.002568351284175642,0.046975973487986745,11152.0,0.04044117647058824,0.0350609756097561,0.05191893830703013,0.049766857962697274,0.06572812051649929,0.08706958393113343,0.10805236728837876,0.18050573888091823,0.11917144906743185,0.2622847919655667,21110.0,0.6829938417811464,14418.0,0.0377999722569011,18627.0,0.21930530949696678,0.3642025017447791,0.41649218875825417,0.0,0.0
8,NTA2010,Brownsville,BK81,Brooklyn,60124.0,0.4162397711396447,0.5837602288603553,0.27627902335173976,0.1055817976182556,0.20314682988490454,0.7968531701150955,0.01230789701284013,0.7574180027942252,0.002760960681258732,0.016016898409952764,0.0,0.0025114762823498105,0.005837934934468765,21552.0,0.26368782479584263,0.10087230883444692,0.14142538975501115,0.10801781737193764,0.1425853749072012,0.12184484038604305,0.05911284335560505,0.047280994803266516,0.008398292501855977,0.006774313288789903,45400.0,0.5170484581497797,23474.0,0.1525517593933714,37310.0,0.8882873224336639,0.08193513803269901,0.029777539533637095,10.0,1.0
9,NTA2010,Bushwick North,BK77,Brooklyn,60834.0,0.5099944110201532,0.4900055889798468,0.2280796922773449,0.06322122497287701,0.6742446658118815,0.3257553341881185,0.15208600453693658,0.09221816747213729,0.0005917743367195976,0.06568695137587534,0.0,0.003254758851957787,0.011917677614491896,19207.0,0.11193835580777842,0.06737127089082105,0.12703701775394388,0.08887384807622221,0.1337533191024106,0.1672306971416671,0.10438902483469568,0.13104597282240849,0.04300515437080231,0.025355339199250274,48546.0,0.7249824908334364,35195.0,0.12626793578633327,38677.0,0.7661917935724074,0.1748584430023011,0.05894976342529152,2.0,1.0
