,Address,Latitude,Longitude,NTA
400,664 East 105th Street,40.649609000000005,-73.897009,Canarsie
401,337 Van Siclen Avenue,40.671728,-73.890057,East New York
402,633 Powell Street,40.658459,-73.901057,Brownsville
403,276-278 Powers Street,40.712955,-73.93972099999999,East Williamsburg
404,1711 Park Place,40.671827,-73.920811,Ocean Hill
405,94 - 110 Walton St.,40.702631,-73.948631,Bedford
406,43-69 Malta Street,40.659475,-73.89560300000001,East New York (Pennsylvania Ave)
407,252-256 St. Marks Avenue,40.678319,-73.967513,Prospect Heights
408,1659 Madison Avenue,40.796473999999996,-73.9474,East Harlem South
409,379 East 159th Street,40.823085999999996,-73.914947,Morrisania-Melrose
410,1652-1654 St. John's Place,40.670152,-73.923242,Crown Heights North
411,604 Marcy Avenue,40.693796,-73.94890500000001,Bedford
412,558 Columbia Street,40.672562,-74.00869200000001,Carroll Gardens-Columbia Street-Red Hook
413,209 Avenue B,40.728590000000004,-73.978637,Lower East Side
414,65-67 W. 128th Street,40.809144,-73.942758,Central Harlem North-Polo Grounds
415,1086 East 180th Street,40.842203999999995,-73.876529,East Tremont
416,1272-1280 Shakespeare Avenue,40.839017,-73.922729,Highbridge
417,2601-2603 Tilden Avenue.,40.646757,-73.952588,Erasmus
418,237 E. 7th Street,40.723877,-73.97835,Lower East Side
419,2110 Mermaid Avenue,40.576242,-73.988189,Seagate-Coney Island
420,869 E 164th Street,40.82331,-73.899259,Longwood
422,9-11 Rochester Avenue,40.678834,-73.927378,Crown Heights North
423,293-297 East 4th Street,40.722464,-73.98056899999999,Lower East Side
424,2917-2923 West 20th Street,40.575996999999994,-73.986807,Seagate-Coney Island
425,522 West 146th Street,40.826254,-73.947965,Hamilton Heights
426,673 Sheffield Avenue,40.660557,-73.893175,East New York (Pennsylvania Ave)
427,1340 Sheridan Avenue,40.837275,-73.913574,East Concourse-Concourse Village
428,953-955 Sherman Avenue,40.828252,-73.91911,East Concourse-Concourse Village
429,323-325 Monroe Street,40.686076,-73.94538100000001,Bedford
430,2084-90 Pacific Street,40.675795,-73.915903,Ocean Hill
431,1688-1696 Bergen Street,40.674828999999995,-73.926867,Crown Heights North
432,701 St. Ann's Avenue,40.81825,-73.91103000000001,Melrose South-Mott Haven North
433,230A Spencer Street,40.691602,-73.954593,Bedford
434,666-68 St. Ann's Avenue,40.817078,-73.91149399999999,Melrose South-Mott Haven North
435,476-484 New Jersey Avenue,40.667535,-73.893737,East New York (Pennsylvania Ave)
436,1642 St. John's Place,40.670169,-73.92352,Crown Heights North
437,207 St. Marks Avenue,40.678709999999995,-73.96929,Prospect Heights
438,213 Madison Street,40.684681,-73.95099599999999,Bedford
439,461 Williams Avenue,40.664659,-73.897865,East New York (Pennsylvania Ave)
440,174 Suffolk Street,40.720933,-73.98508299999999,Chinatown
441,339-341 Edgecombe Avenue.,40.826462,-73.941811,Hamilton Heights
442,281-283 Columbia Street,40.682578,-74.003869,Carroll Gardens-Columbia Street-Red Hook
443,182 Sumpter Street,40.680246000000004,-73.917693,Stuyvesant Heights
444,99-100 McKibben Street,40.70508,-73.944013,East Williamsburg
445,2829 Surf Avenue,40.572905,-73.994741,Seagate-Coney Island
446,90 W 164th Street,40.832559,-73.92830500000001,Highbridge
447,1001 Anderson Avenue,40.832284,-73.927189,Highbridge
448,931-933 Bedford Avenue,40.692060999999995,-73.95563100000001,Bedford
451,15-17 Ten Eyck Street,40.709598,-73.95007199999999,North Side-South Side
452,642-648 Blake Avenue,40.667777,-73.89516400000001,East New York (Pennsylvania Ave)
453,271 Glenmore Avenue,40.672509000000005,-73.90063599999999,East New York (Pennsylvania Ave)
454,1735 Walton Avenue,40.846592,-73.910938,Mount Hope
455,603 East 11th Street,40.727311,-73.979074,Lower East Side
456,267 Throop Ave.,40.694666,-73.943253,Stuyvesant Heights
457,613 Hendrix Street,40.666544,-73.887795,East New York
458,285 - 303 New Lots Avenue,40.660713,-73.895655,East New York (Pennsylvania Ave)
459,97 Herkimer Street,40.679691,-73.950448,Crown Heights North
460,53-55 West 128th Street,40.809031,-73.942488,Central Harlem North-Polo Grounds
461,1917-23 Surf Avenue,40.575064000000005,-73.985961,Seagate-Coney Island
462,2556 Pitkin Avenue.,40.674543,-73.877838,East New York
463,198 Avenue B,40.728258000000004,-73.97890100000001,East Village
464,49 Van Buren Street,40.690036,-73.943557,Bedford
465,253 Throop Avenue,40.695178999999996,-73.943354,Stuyvesant Heights
466,42-48 Vernon Avenue,40.694461,-73.95053399999999,Bedford
467,200 Vernon Ave.,40.695196,-73.944122,Bedford
469,74 E. 112th Street,40.796895,-73.945424,East Harlem South
470,431 E. 156th Street,40.820531,-73.914448,Melrose South-Mott Haven North
471,1093-1095 Dean Street,40.677263,-73.953835,Crown Heights North
472,2780 Reservoir Avenue,40.870293,-73.898309,Van Cortlandt Village
473,460-464 E. 136th Street,40.807068,-73.92209799999999,Mott Haven-Port Morris
474,623 Warren Street,40.680820000000004,-73.97940200000001,Park Slope-Gowanus
475,2008 Gildersleeve Avenue,40.809962,-73.85070999999999,Soundview-Castle Hill-Clason Point-Harding Park
476,681 Halsey Street,40.684676,-73.924963,Stuyvesant Heights
477,1036-53 Amsterdam Avenue,40.803674,-73.96336600000001,Morningside Heights
478,34 West 131st Street,40.81071,-73.940702,Central Harlem North-Polo Grounds
479,108-114 W. 132nd Street,40.812453999999995,-73.942882,Central Harlem North-Polo Grounds
480,814 West 181st Street,40.851073,-73.93889399999999,Washington Heights South
481,55-57 West 87th Street,40.786617,-73.97035600000001,Upper West Side
482,1233 Pacific Street,40.677792,-73.95186600000001,Crown Heights North
483,143 Westervelt Avenue,40.644391999999996,-74.084861,West New Brighton-New Brighton-St. George
484,321-325 West 126th Street,40.811116,-73.9513,Central Harlem North-Polo Grounds
485,146 Woodbine Street,40.692534,-73.916722,Bushwick South
486,949 Woodycrest Avenue,40.83116,-73.929149,Highbridge
