,Address,Latitude,Longitude,NTA
88,404 Decatur Street,40.682165999999995,-73.927115,Crown Heights North
89,2483 Belmont Avenue,40.856921,-73.884462,Belmont
90,301-303 Berry Street,40.713449,-73.963827,North Side-South Side
91,436 Van Siclen Avenue,40.669128,-73.889416,East New York
92,22 East 119th Street,40.802263,-73.944274,East Harlem North
93,237 E 3rd Street,40.722296,-73.98204799999999,Lower East Side
94,494 East 141st Street,40.809829,-73.918667,Mott Haven-Port Morris
95,397-401 Carlton Avenue,40.685731,-73.971356,Fort Greene
96,65-73 Flatbush Avenue,40.687133,-73.979674,Fort Greene
97,48 Lefferts Place,40.681526,-73.961901,Clinton Hill
98,899-999 Bryant Avenue,40.819878,-73.886951,Hunts Point
99,790 Blake Avenue,40.668623,-73.889471,East New York
100,1771 Popham Avenue,40.851414,-73.918533,University Heights-Morris Heights
101,175 W 166th Street,40.835784000000004,-73.928324,Highbridge
102,450 St. Pauls Place,40.836403999999995,-73.90501400000001,Claremont-Bathgate
103,1020 Anderson Avenue,40.832706,-73.926838,Highbridge
104,1313-1311 Bristow Street,40.831035,-73.89477,Crotona Park East
105,250 W 127th Street,40.810928000000004,-73.948938,Central Harlem North-Polo Grounds
106,2111 Crotona Avenue,40.848471999999994,-73.888561,East Tremont
107,1000 East Tremont Avenue,40.840755,-73.88170699999999,East Tremont
108,1550 Crotona  Park East,40.836575,-73.89281700000001,Crotona Park East
109,640-644 East 12th Street,40.727318,-73.977194,Lower East Side
110,143-145 St. Nicholas Avenue,40.804435999999995,-73.95274599999999,Central Harlem South
111,534 Carroll Street,40.676396000000004,-73.984555,Park Slope-Gowanus
112,236-242 East 124th Street,40.802632,-73.935399,East Harlem North
113,551 Cauldwell Avenue,40.814133,-73.910779,Melrose South-Mott Haven North
114,305 Greene Avenue,40.687514,-73.958923,Bedford
115,277-279 Bainbridge Street,40.681591,-73.925688,Crown Heights North
116,1691-93 Madison Avenue,40.797308,-73.946792,East Harlem South
117,21 West 118th Street,40.802366,-73.94641999999999,Central Harlem South
118,127 Patchen Avenue,40.687548,-73.926979,Stuyvesant Heights
119,16 Clarkson Street,40.729411999999996,-74.006148,West Village
120,573-579 Glenmore Avenue,40.674214,-73.88914799999999,East New York
121,1280 Teller Avenue,40.834051,-73.91055300000001,East Concourse-Concourse Village
122,474 Classon Avenue,40.683943,-73.95903299999999,Clinton Hill
123,1328-1332 Clay Avenue,40.835309,-73.908936,East Concourse-Concourse Village
124,303 W 126th Street,40.810959000000004,-73.950928,Central Harlem North-Polo Grounds
125,433-435 Cleveland Street,40.674162,-73.884339,East New York
126,289 Grand Avenue,40.687639000000004,-73.962648,Clinton Hill
127,1031-35 Bedford Avenue,40.688603,-73.954945,Bedford
128,757 East 179th Street,40.845858,-73.888049,East Tremont
129,436 West 48th Street,40.762716999999995,-73.991026,Clinton
130,1420 College Avenue,40.838033,-73.91027,East Concourse-Concourse Village
131,304-306 West 150th St,40.826069,-73.939785,Central Harlem North-Polo Grounds
132,171 Stanton Street,40.72017,-73.984289,Lower East Side
133,72-74 Grove Street,40.692238,-73.92181,Bushwick South
134,606 Glenmore Avenue,40.674396,-73.887803,East New York
135,214 Montauk Avenue,40.673887,-73.87789000000001,East New York
136,2139 Daly Avenue,40.845582,-73.880943,East Tremont
137,1475 Bushwick Avenue,40.683411,-73.907424,Bushwick South
138,41 Cooper Street,40.684528,-73.91054100000001,Bushwick South
139,34 Cooper Street,40.684311,-73.910725,Bushwick South
140,52-02 102nd  Street,40.741788,-73.859801,Corona
141,364-366 East 158th Street,40.822689000000004,-73.91614,Melrose South-Mott Haven North
142,530 East 6th Street,40.72511,-73.98311899999999,East Village
143,2242 Creston Avenue,40.856775,-73.90151800000001,Fordham South
144,3003 Seagirt Boulevard.,40.595964,-73.763133,Hammels-Arverne-Edgemere
145,11709 165th Street,40.684574,-73.78111,Baisley Park
146,248-250 Bergen Street,40.684364,-73.984438,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
147,2385 Davidson Avenue,40.861379,-73.903254,Kingsbridge Heights
148,311-313 E 8th Street,40.725296,-73.979821,Lower East Side
149,1052 Decatur Street,40.685984999999995,-73.910265,Bushwick South
150,941-943 Avenue St. John,40.815228999999995,-73.902569,Longwood
151,306-310 East 118th Street,40.798107,-73.936371,East Harlem North
152,520-522 East 13th Street,40.729306,-73.979885,East Village
153,513 W 158th Street,40.833766,-73.942217,Washington Heights South
154,223 - 231 E. 124 St.,40.802741999999995,-73.935612,East Harlem North
155,93 Nagle Avenue,40.860412,-73.927936,Washington Heights North
156,333-335 East 8th Street,40.725021999999996,-73.97917199999999,Lower East Side
157,600 East 6th Street,40.72438,-73.98138,Lower East Side
158,105 E 103rd Street,40.790817,-73.948859,East Harlem South
159,401 E 143rd Street,40.812172,-73.92033599999999,Mott Haven-Port Morris
160,171 E 4th Street,40.648198,-73.977358,Windsor Terrace
161,429-433 East 117th Street,40.796357,-73.934119,East Harlem North
162,339-341 Edgecomb Avenue,40.826462,-73.941811,Hamilton Heights
163,836 Elton Avenue,40.8227,-73.912729,Morrisania-Melrose
164,52 W 129th Street,40.809753,-73.94230999999999,Central Harlem North-Polo Grounds
165,811-815 Eagle Avenue,40.820572999999996,-73.909101,Melrose South-Mott Haven North
166,504 East 178th Street,40.847974,-73.896315,Claremont-Bathgate
167,169 East 110th Street,40.794391,-73.9434,East Harlem South
168,624-638 East 138th Street,40.806094,-73.915774,Mott Haven-Port Morris
170,203-207 South 2nd Street,40.712385,-73.959633,North Side-South Side
171,537 East 12th Street,40.728694,-73.980372,East Village
172,121-123 West 137th Street,40.815768,-73.940759,Central Harlem North-Polo Grounds
173,585 Elton Street,40.668638,-73.882081,East New York
174,3030 Fulton Street,40.680440999999995,-73.883066,East New York
175,532 Euclid Avenue,40.673943,-73.871567,East New York
176,808 Herkimer Street,40.678383000000004,-73.926777,Crown Heights North
177,793 Cleveland Street,40.665184,-73.881518,East New York
178,156 East 111th Street,40.79527,-73.943572,East Harlem South
179,431 East 114th Street,40.794189,-73.935108,East Harlem North
180,419 East 158th Street,40.822053000000004,-73.913995,Melrose South-Mott Haven North
181,181 Legion Street,40.664208,-73.917132,Brownsville
182,1897-1905 Bergen Street,40.674381,-73.91832,Ocean Hill
183,358-364 E 8th Street,40.724470000000004,-73.97791,Lower East Side
184,397-401 Quincy Street,40.687717,-73.944139,Bedford
185,48 East 1st Street,40.72384,-73.989772,East Village
186,494 Bradford Street,40.666585,-73.890635,East New York (Pennsylvania Ave)
187,338-340 Pearl Street,40.709257,-74.00198,Battery Park City-Lower Manhattan
188,250-252 West 121st Street,40.807004,-73.951621,Central Harlem South
189,2379-2385 Pitkin Avenue,40.673578000000006,-73.884567,East New York
190,2592-2597 Bainbridge Avenue,40.863711,-73.892599,Bedford Park-Fordham North
192,506-508 West 143rd Street,40.824306,-73.94944100000001,Hamilton Heights
193,1060-1062 Cauldwell Avenue,40.826309,-73.905603,Morrisania-Melrose
194,95 East 111th Street,40.796245,-73.94584300000001,East Harlem South
195,499 West 150th Street,40.828638,-73.945842,Hamilton Heights
196,978 Greene Avenue,40.690965999999996,-73.928771,Stuyvesant Heights
197,1686 Weeks Avenue,40.844045,-73.907616,Mount Hope
198,2156-2160 Prospect Avenue,40.848425,-73.885543,East Tremont
199,392 Hancock Street,40.683685,-73.93996700000001,Stuyvesant Heights
200,1685 Weeks Avenue,40.844009,-73.907641,Mount Hope
201,302 West 116th Street,40.804522,-73.955636,Central Harlem South
202,270-272 East 4th Street,40.722906,-73.981662,Lower East Side
203,298-304 Snediker Avenue,40.667834,-73.900611,East New York (Pennsylvania Ave)
204,109-13 156th Street,40.692461,-73.794877,South Jamaica
205,549 Audubon Avenue,40.855954,-73.927051,Washington Heights North
206,"105 Johnson Street (Tech), Brooklyn, NY 11201",40.694926,-73.98601500000001,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
207,328 New Lots Avenue,40.661178,-73.89455799999999,East New York (Pennsylvania Ave)
208,144 Newport Street,40.659215,-73.909847,Brownsville
209,555 Glenmore Avenue,40.674105,-73.88988,East New York
210,555-557 Shepherd Avenue,40.670738,-73.879951,East New York
211,28-32 Granite Street,40.682511,-73.907811,Bushwick South
212,1062 Grant Avenue,40.830303,-73.916893,East Concourse-Concourse Village
213,229 North 12th Street,40.719516,-73.952969,North Side-South Side
214,947-953 Glenmore Avenue,40.676272,-73.875077,East New York
215,222 5th Avenue,40.676008,-73.980745,Park Slope-Gowanus
216,490 Greene Avenue,40.688328999999996,-73.951722,Bedford
217,2 South Portland Avenue,40.689322,-73.975044,Fort Greene
218,774 Halsey St.,40.684917999999996,-73.922702,Stuyvesant Heights
219,322-324 Hancock Street,40.683344,-73.942924,Bedford
220,155 Harding Park,40.807736,-73.857874,Soundview-Castle Hill-Clason Point-Harding Park
221,4-8 E 129th Street,40.808821,-73.9401,Central Harlem North-Polo Grounds
222,116 - 122 West 134th Street,40.813777,-73.942176,Central Harlem North-Polo Grounds
224,169-171 Hart Street,40.693661999999996,-73.94457,Bedford
225,104-108 Hart Street,40.693312,-73.947474,Bedford
226,134-136 Scholes Street,40.708692,-73.944327,East Williamsburg
227,532 Hendrix Street,40.668485,-73.88831400000001,East New York
228,176 E 111th Street,40.795069,-73.943106,East Harlem South
229,582 - 590 Glenmore Avenue,40.674263,-73.888701,East New York
230,444 W 56th Street NY NY 10019,40.767790999999995,-73.987531,Clinton
231,460 Washington Avenue,40.685321,-73.965249,Clinton Hill
232,415-421 East 117th Street,40.79645,-73.934347,East Harlem North
233,193 East 2nd Street,40.722289,-73.984094,East Village
234,1656 Amsterdam Avenue,40.823414,-73.94895,Hamilton Heights
235,750 Howard Avenue,40.663636,-73.91895699999999,Brownsville
236,196 Hull Street,40.679912,-73.907566,Ocean Hill
237,145 Hull Street,40.679465,-73.911615,Ocean Hill
238,335 E 108th Street,40.791109000000006,-73.939592,East Harlem South
239,207-209 Columbia Street,40.684958,-74.002726,Carroll Gardens-Columbia Street-Red Hook
240,1919 Prospect Avenue,40.843546,-73.88975500000001,East Tremont
241,Harlem River Drive/Dyckman Street,,,
242,"800 Van Siclen Avenue, Brooklyn, NY 11207",40.660109999999996,-73.885387,East New York
243,700 Cortelyou Road,40.638686,-73.971651,Kensington-Ocean Parkway
244,215 Heyward Street,40.703624,-73.95314599999999,Williamsburg
245,"21 Jumel Place, NY NY 10032",40.839304999999996,-73.936159,Washington Heights South
246,99 Avenue P,40.60754,-73.984661,Bensonhurst East
247,87-91 Schenectady Avenue,40.676312,-73.93318199999999,Crown Heights North
248,625 Wales Avenue,40.814909,-73.906522,Melrose South-Mott Haven North
249,890 Cauldwell Avenue,40.822474,-73.90719399999999,Morrisania-Melrose
250,101 Park Avenue,40.696324,-73.97578,Fort Greene
251,103 East 122nd Street,40.803013,-73.940152,East Harlem North
252,1022-1024 Boston Road (north of E 165th Street),40.825996999999994,-73.906723,Morrisania-Melrose
253,900 Tinton Avenue,40.821675,-73.90354599999999,Morrisania-Melrose
254,327-329 Greene Avenue,40.687596,-73.958223,Bedford
255,1507 Washington Avenue,40.837907,-73.903201,Claremont-Bathgate
256,447 Jerome Street,40.670460999999996,-73.886004,East New York
257,349 Schenck Avenue,40.672292,-73.888329,East New York
258,155 Amboy Street,40.667016,-73.91396,Brownsville
259,1161 Castleton Avenue,40.634234,-74.12114,West New Brighton-New Brighton-St. George
260,"63-25 Main Street  Flushing, NY 11367",40.738139000000004,-73.82494399999999,Kew Gardens Hills
261,"237 7th Avenue.  Brooklyn, NY 11215",40.669629,-73.979287,Park Slope-Gowanus
262,10 Stuyvesant Avenue,40.696355,-73.93473,Stuyvesant Heights
263,1175 Hoe Avenue,40.827899,-73.890901,Morrisania-Melrose
264,219 W. 122nd Street,40.807407,-73.950588,Central Harlem South
265,212 E. 3rd Street,40.722502,-73.982582,Lower East Side
266,385-389 Kosciusko Street,40.692034,-73.93916999999999,Stuyvesant Heights
267,2085-2093 Vyse Avenue.,40.843482,-73.88086,East Tremont
268,223 E. 119th Street,40.799606,-73.937894,East Harlem North
269,71 East 115th Street,40.798797,-73.944151,East Harlem North
270,1036 Flushing Avenue,40.704359000000004,-73.929634,Bushwick North
271,96-98 W. 163rd Street,40.832115,-73.929249,Highbridge
272,76 W. 105th Street,40.798286,-73.96271899999999,Upper West Side
273,632-650 E. 9th Street,40.725815000000004,-73.979248,Lower East Side
274,511 LaGuardia Place,40.727809,-73.99915899999999,West Village
275,1126 - 1140 Woodycrest Avenue,40.835464,-73.925809,Highbridge
276,427 East 157th Street,40.821362,-73.91415400000001,Melrose South-Mott Haven North
277,1885 University Avenue (behind Calvary Methodist Church),40.852536,-73.913333,University Heights-Morris Heights
278,162 Lefferts Place,40.6806,-73.957474,Clinton Hill
279,2015 Lexington Avenue,40.802809,-73.938552,East Harlem North
280,316 Lincoln Road,40.661467,-73.952239,Prospect Lefferts Gardens-Wingate
281,20 Lincoln Place,40.677378000000004,-73.97884499999999,Park Slope-Gowanus
282,113 Linden Street,40.693162,-73.91964899999999,Bushwick South
283,1675 Madison Avenue,40.796976,-73.947034,East Harlem South
284,110 E Houston Street,40.723832,-73.991576,East Village
285,221 East 3rd Street,40.722453,-73.982423,Lower East Side
286,326 Pleasant Avenue,40.796043,-73.932422,East Harlem North
287,213 E. 7th Street,40.724508,-73.979851,Lower East Side
288,25 Rutgers Street,40.712962,-73.990026,Lower East Side
289,"100 Hester Street  NY, NY 10002",40.716553000000005,-73.993092,Chinatown
290,2545 Gunther Avenue,40.863735,-73.83606999999999,Allerton-Pelham Gardens
291,227 Sterling Place,40.676094,-73.97038,Prospect Heights
292,790 East New York Avenue,40.662447,-73.936382,Prospect Lefferts Gardens-Wingate
293,103 West 108th Street,40.80069,-73.962238,Morningside Heights
294,400 Empire Boulevard.,40.664007,-73.94922,Prospect Lefferts Gardens-Wingate
295,894 Madison Street,40.687995,-73.92200600000001,Stuyvesant Heights
296,1262-1264 Madison Street,40.694952,-73.913174,Bushwick North
297,974 Madison Street,40.688959000000004,-73.919063,Bushwick South
298,88-90 Madison Street,40.684145,-73.955485,Clinton Hill
299,564 West 149th Street,40.828472,-73.947418,Hamilton Heights
300,1574 Lexington Avenue,40.788624,-73.948933,East Harlem South
301,1665-71 Park Avenue,40.800245000000004,-73.942524,East Harlem North
