,GeoType,NTA,GeoID,Borough,Pop_1E,MaleEN,FemEN,PopUnd18N,PopOv65N,HispN,NotHispN,WhiteN,BlackN,NativeN,AsianN,PacificN,OtherRace1N,OtherRace2N,HHPop,HHINC_U10N,HHINC_10t14N,HHINC_15t24N,HHINC_25t34N,HHINC_35t49N,HHINC_50t74N,HHINC_75t99N,HHINC_100t149N,HHINC_150t199N,HHINC_200plN,Pop16yrsOver,Labor_forceN,CivilianLF,CLF_UnemployedN,PopOver25,EduOtherN,EduBachelor,EduGradProf,GardenCounts,HasGarden,GardenNorm
13,NTA2010,Clinton Hill,BK69,Brooklyn,38655,0.469279524,0.530720476,0.186366576,0.098383133,0.110128056,0.889871944,0.401190014,0.381891088,0.000310438,0.063484672,0.000439788,0.004268529,0.038287414,15797,0.08596569,0.048996645,0.068683927,0.066594923,0.090966639,0.150281699,0.140659619,0.167816674,0.090207001,0.089827182,31989,0.713651568,22829,0.07928512,26710,0.432422314,0.32811681,0.239460876,6,1,0.011450382
14,NTA2010,Crown Heights North,BK61,Brooklyn,107134,0.449913193,0.550086807,0.205770344,0.106772827,0.123088842,0.876911158,0.157307671,0.659155824,0.002230851,0.03044785,0,0.005311106,0.022457857,43221,0.151199648,0.077277249,0.123435367,0.10034474,0.122486754,0.16119479,0.09414405,0.107123852,0.034520256,0.028273293,87976,0.639424388,56214,0.093339737,73312,0.683926233,0.195970646,0.120103121,19,1,0.036259542
15,NTA2010,Crown Heights South,BK63,Brooklyn,41962,0.470044326,0.529955674,0.242385968,0.113388304,0.081835947,0.918164053,0.281540441,0.600281207,0.00350317,0.0127258,0,0.007625947,0.012487489,14971,0.081824861,0.077750317,0.121568366,0.103333111,0.15556743,0.189366108,0.118762942,0.103533498,0.025515998,0.02277737,32922,0.657098597,21621,0.12589612,27183,0.684729426,0.188684104,0.126586469,0,0,0
16,NTA2010,Cypress Hills-City Line,BK83,Brooklyn,48899,0.480561975,0.519438025,0.256426512,0.075870672,0.615759013,0.384240987,0.031861592,0.245567394,0.000695311,0.080328841,0,0.013190454,0.012597395,14159,0.141535419,0.04604845,0.110954163,0.099795183,0.145490501,0.204251713,0.103185253,0.101490218,0.029239353,0.018009746,38106,0.579436309,22080,0.078804348,30142,0.8716409,0.090305885,0.038053215,0,0,0
17,NTA2010,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,BK38,Brooklyn,42245,0.481264055,0.518735945,0.176636288,0.089667416,0.205728489,0.794271511,0.448431767,0.194768612,0.000213043,0.110877027,0.000449757,0.007551189,0.031980116,17585,0.086152971,0.04970145,0.07989764,0.048393517,0.063918112,0.100142167,0.091839636,0.162866079,0.104691498,0.212396929,35416,0.712559295,25220,0.087906423,31717,0.401078286,0.31910332,0.279818394,5,1,0.009541985
18,NTA2010,Dyker Heights,BK30,Brooklyn,45877,0.485929769,0.514070231,0.219630752,0.147851865,0.112213092,0.887786908,0.466791639,0.008021449,0.001918173,0.402620049,0.000152582,0.001525819,0.006757199,14907,0.071510029,0.053666063,0.127926477,0.087878178,0.108673777,0.180116724,0.109143355,0.144428792,0.055879788,0.060776816,36996,0.609363174,22535,0.084268915,32157,0.732188948,0.168485866,0.099325186,0,0,0
19,NTA2010,East Flatbush-Farragut,BK91,Brooklyn,53535,0.429532082,0.570467918,0.217278416,0.154627814,0.065247035,0.934752965,0.016605959,0.883851686,0.000168114,0.016755394,0,0.004258896,0.013112917,18556,0.07286053,0.054699289,0.090267299,0.110907523,0.142325932,0.194761802,0.143727096,0.134242294,0.032819573,0.023388661,43376,0.626775175,27181,0.08171149,37056,0.760146805,0.155791235,0.08406196,3,1,0.005725191
20,NTA2010,East New York,BK82,Brooklyn,94448,0.452291208,0.547708792,0.275495511,0.095174064,0.269799255,0.730200745,0.017120532,0.661591564,0.00048704,0.028650686,0.000974081,0.008819668,0.012557174,32744,0.188553628,0.072868312,0.123717322,0.106614952,0.136971659,0.14759956,0.095834351,0.085756169,0.025134376,0.01694967,71139,0.577643768,41057,0.112843121,58164,0.852468881,0.106423217,0.041107902,36,1,0.06870229
21,NTA2010,East New York (Pennsylvania Ave),BK85,Brooklyn,29447,0.443678473,0.556321527,0.290454036,0.077155568,0.234760757,0.765239243,0.019017217,0.727883995,0.002784664,0.006723945,0.000135837,0.00346385,0.005229735,10079,0.258954261,0.073320766,0.118067269,0.097529517,0.117868836,0.143863479,0.079174521,0.070741145,0.033435857,0.00704435,21926,0.574432181,12595,0.156649464,17552,0.890952598,0.078110757,0.030936645,13,1,0.02480916
22,NTA2010,East Williamsburg,BK90,Brooklyn,35985,0.484146172,0.515853828,0.131777129,0.126330415,0.297651799,0.702348201,0.441350563,0.08684174,0.005002084,0.153897457,0.000805891,0.005252188,0.009198277,15964,0.090704084,0.071222751,0.128601854,0.082936607,0.104735655,0.13499123,0.113568028,0.140566274,0.064019043,0.068654473,31807,0.689785267,21940,0.079854148,27475,0.580673339,0.303621474,0.115705187,7,1,0.013358779
