NTA,GardenCounts_MMscaled,HasGarden,Gender_Female,Age_Over65,Unemployed,Race_Hisp,Race_White,Race_Black,Race_Asian,Race_Other,Income_Low,Income_Mid,Income_High,Edu_Other,Edu_Bachelor,Edu_GradProf,Crime_Felonies_unscaled,Crime_Misdemeanor_unscaled,Crime_Violation_unscaled,Crime_Total_unscaled,Crime_Felony_scaled,Crime_Misdemeanor_scaled,Crime_Violation_scaled,Crime_Total_scaled,Crime_Felony_MMscaled,Crime_Misdemeanor_MMscaled,Crime_Violation_MMscaled,Crime_Total_MMscaled
Bath Beach,0.0,0.0,0.4968488978681061,0.14739317914543315,0.07056615577103535,0.17673310617254168,0.4369327262310406,0.01218225130416428,0.3610951964538793,0.01305671983837409,0.4334091704585229,0.29978998949947494,0.2668008400420021,0.6637981697590463,0.22437242884728406,0.11182940139366973,0.030033471036999063,0.06564544824050901,0.014443807858155171,0.11012272713566323,-0.19769556064081273,-0.17881616520877852,-0.24516471250077068,-0.19061208343294256,0.010496320259901817,0.012186654995143998,0.016769126770303993,0.01208899961237521
Bay Ridge,0.0,0.0,0.5219627467333889,0.15644350089721232,0.07492212949092897,0.17860843632319862,0.6343291126443754,0.0190941946571638,0.1455126747036672,0.022455581671595018,0.40941260787768385,0.28900767462000176,0.3015797175023144,0.5357351576197188,0.2719756609027467,0.1922891814775345,0.03362650693759951,0.0820506988146688,0.02383299213991457,0.13951019789218289,-0.18478146351863217,-0.14858736717968982,-0.11746721377348365,-0.1576758305853333,0.011752041101211388,0.015232184185891482,0.027669882515380696,0.015315083199522418
Bedford,0.6388888888888888,1.0,0.5155075811890916,0.07721925701691494,0.12502705627705624,0.19493348203616664,0.3506067606681006,0.4058259645768608,0.0304044185984758,0.01822937412039619,0.5759238650754058,0.22928738631566828,0.1947887486089259,0.6781932716793996,0.20435151677612476,0.11745521154447572,0.0820255450224382,0.12467139329244005,0.032993441142887485,0.2396903794577657,-0.010825539965719656,-0.07005321987093839,0.007119373281905762,-0.04539805691434026,0.02866689597708698,0.02314444182409159,0.03830507872626256,0.026312614840943247
Bensonhurst East,0.027777777777777776,1.0,0.5132338525215118,0.15726578181648435,0.08520151330394272,0.12328255558840462,0.465153189039476,0.008262405277980923,0.3867925996234459,0.016509250470692582,0.5105241808266101,0.2909812052102583,0.19849461396313156,0.6981525755270593,0.20456422516844164,0.09728319930449902,0.029377440988376618,0.048002863055689536,0.01496880202903512,0.09234910607310128,-0.20005346520880307,-0.2113249124450404,-0.238024534988437,-0.21053201741379607,0.010267046011781205,0.008911422596972066,0.01737864012658876,0.010137855613996773
Bensonhurst West,0.05555555555555555,1.0,0.5127883377343255,0.1426248827008271,0.08834246067244125,0.14597472884795845,0.426772581454728,0.008740152325251509,0.4051677105383759,0.013344826833686142,0.4928616804306396,0.2856999565348223,0.2214383630345381,0.7376184323858742,0.18879968007874984,0.07358188753537591,0.02770442790738276,0.045981275778539166,0.013104772712393341,0.08679047639831526,-0.20606661231123605,-0.21504994872064656,-0.2633762454402086,-0.21676189796295353,0.00968234898906667,0.00853612792918425,0.015214519402933446,0.00952764304723894
Borough Park,0.05555555555555555,1.0,0.4898454391812148,0.101460632783511,0.05731048087515692,0.0967208935635852,0.7571308526809741,0.008931859167429872,0.12853946163360494,0.008676932954405974,0.6100211509007366,0.22277733206914158,0.1672015170301218,0.8118683596786732,0.11113167734053972,0.07699996298078703,0.020346888483944368,0.041770132089545185,0.01080131806293845,0.07291833863642799,-0.23251109584079863,-0.2228095261480453,-0.2947043553526504,-0.23230921200871996,0.007110981529803485,0.007754356204742298,0.012540229949231948,0.008004794200427545
Brighton Beach,0.0,0.0,0.5247240682729748,0.2284743976344527,0.07810867293625914,0.11426647539303805,0.6952015692244635,0.007641186286851891,0.14945691951869308,0.03343384957695348,0.5938142867276726,0.2228843016244591,0.18330141164786834,0.5896230112077749,0.2635394623403088,0.1468375264519163,0.03908422870861024,0.06443774336153643,0.016277776151301344,0.11979974822144802,-0.1651653085548331,-0.18104151779941258,-0.22022184667217137,-0.17976648137573442,0.013659446193596311,0.01196245235672087,0.018898346924885463,0.013151318964591045
Brooklyn Heights-Cobble Hill,0.0,0.0,0.5028169014084507,0.1331400165700083,0.0377999722569011,0.08073736536868269,0.7233222866611433,0.049585749792874896,0.0963960231980116,0.0499585749792875,0.24291606886657102,0.1951219512195122,0.5619619799139168,0.2193053094969668,0.3642025017447791,0.41649218875825417,0.03827671913835957,0.07133388566694282,0.017647058823529408,0.1272576636288318,-0.16806766113515795,-0.16833448281767713,-0.20159893257793718,-0.1714079605078173,0.013377231758513365,0.01324267679460572,0.020488071389546527,0.013970030404218948
Brownsville,0.2777777777777778,1.0,0.5837602288603553,0.1055817976182556,0.1525517593933714,0.2031468298849045,0.01230789701284013,0.7574180027942252,0.01601689840995276,0.011110371898077306,0.7565887156644395,0.1809576837416481,0.062453600593912396,0.8882873224336639,0.08193513803269901,0.029777539533637095,0.12178165125407492,0.20469363315813985,0.058030071186215164,0.3845053555984299,0.13206593990768903,0.07739811687034272,0.34762978794109045,0.11690453488768689,0.04256115491172237,0.038000055660545755,0.06737237366820646,0.042210043427813586
Bushwick North,0.05555555555555555,1.0,0.4900055889798468,0.06322122497287701,0.12626793578633327,0.6742446658118815,0.15208600453693658,0.09221816747213728,0.06568695137587534,0.01576421080316928,0.5289738116311762,0.27161972197636275,0.19940646639246107,0.7661917935724074,0.1748584430023011,0.058949763425291526,0.06981293355689253,0.09534142091593516,0.02210934674688497,0.18726370121971267,-0.054720133547474854,-0.12409749107302737,-0.14090963419868455,-0.10415569361996554,0.024398741923424696,0.017699521209641425,0.025668746223163664,0.02055734424982209
