,GeoType,GeogName,GeoID,Borough,Population,MalePop,FemalePop,PopUnder18,PopOver65,MedianAge,PopHispanic,PopNotHisp,PopWhite,PopBlack,PopNative,PopAsian,PopPacific,PopOther1,PopOther2,HHUnder10,HHI10t14E,HHI15t24E,HHI25t34E,HHI35t49E,HHI50t74E,HHI75t99E,HI100t149E,HI150t199E,HHI200plE,MedianHHInc,MeanHHInc,PopOver25,EduBelow9,Edu9t12,EduHS,EduCollND,EduAssoc,EduBachelor,EduGradProf,EduLessHS,EduaboveBach
16,NTA2010,Cypress Hills-City Line,BK83,Brooklyn,"48,899","23,499","25,400","12,539","3,710",32.6,"30,110","18,789","1,558","12,008",34.0,"3,928",0.0,645,616,"2,004",652,"1,571","1,413","2,060","2,892","1,461","1,437",414,255,"45,720","57,213","30,142","4,828","3,348","12,437","3,895","1,765","2,722","1,147","8,176","3,869"
17,NTA2010,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,BK38,Brooklyn,"42,245","20,331","21,914","7,462","3,788",34.1,"8,691","33,554","18,944","8,228",9.0,"4,684",19.0,319,"1,351","1,515",874,"1,405",851,"1,124","1,761","1,615","2,864","1,841","3,735","94,542","137,363","31,717","1,630","2,476","4,366","3,040","1,209","10,121","8,875","4,106","18,996"
18,NTA2010,Dyker Heights,BK30,Brooklyn,"45,877","22,293","23,584","10,076","6,783",38.9,"5,148","40,729","21,415",368,88.0,"18,471",7.0,70,310,"1,066",800,"1,907","1,310","1,620","2,685","1,627","2,153",833,906,"56,310","76,957","32,157","4,687","4,330","8,975","3,630","1,923","5,418","3,194","9,017","8,612"
19,NTA2010,East Flatbush-Farragut,BK91,Brooklyn,"53,535","22,995","30,540","11,632","8,278",39.1,"3,493","50,042",889,"47,317",9.0,897,0.0,228,702,"1,352","1,015","1,675","2,058","2,641","3,614","2,667","2,491",609,434,"53,207","65,093","37,056","2,377","2,326","13,233","7,224","3,008","5,773","3,115","4,703","8,888"
20,NTA2010,East New York,BK82,Brooklyn,"94,448","42,718","51,730","26,020","8,989",32.3,"25,482","68,966","1,617","62,486",46.0,"2,706",92.0,833,"1,186","6,174","2,386","4,051","3,491","4,485","4,833","3,138","2,808",823,555,"35,656","49,682","58,164","5,581","6,363","24,457","9,438","3,744","6,190","2,391","11,944","8,581"
21,NTA2010,East New York (Pennsylvania Ave),BK85,Brooklyn,"29,447","13,065","16,382","8,553","2,272",31.0,"6,913","22,534",560,"21,434",82.0,198,4.0,102,154,"2,610",739,"1,190",983,"1,188","1,450",798,713,337,71,"29,183","43,977","17,552","2,180","2,585","6,501","2,877","1,495","1,371",543,"4,765","1,914"
22,NTA2010,East Williamsburg,BK90,Brooklyn,"35,985","17,422","18,563","4,742","4,546",34.2,"10,711","25,274","15,882","3,125",180.0,"5,538",29.0,189,331,"1,448","1,137","2,053","1,324","1,672","2,155","1,813","2,244","1,022","1,096","53,891","76,888","27,475","3,214","2,449","5,614","3,534","1,143","8,342","3,179","5,663","11,521"
23,NTA2010,Erasmus,BK95,Brooklyn,"29,149","12,791","16,358","7,238","3,683",34.6,"2,843","26,306","1,230","23,974",17.0,449,0.0,49,587,"1,140",564,"1,079","1,245","1,541","1,733","1,282",942,315,212,"42,858","57,400","19,184","1,306","1,784","7,184","3,493","1,390","2,731","1,296","3,090","4,027"
24,NTA2010,Flatbush,BK42,Brooklyn,"108,653","50,284","58,369","26,328","11,702",34.3,"20,589","88,064","24,359","49,067",61.0,"11,129",11.0,974,"2,463","3,656","2,041","4,428","4,509","4,907","7,342","4,508","4,053","1,554","1,420","48,896","65,362","71,629","7,456","6,680","19,291","9,788","4,436","14,631","9,347","14,136","23,978"
25,NTA2010,Flatlands,BK58,Brooklyn,"72,540","33,447","39,093","16,592","9,671",37.5,"6,199","66,341","11,458","50,633",41.0,"3,008",11.0,288,902,"1,292",870,"1,619","1,704","2,908","4,060","3,561","4,066","1,712","1,281","69,459","84,670","48,562","2,728","3,304","13,960","9,288","4,230","9,390","5,662","6,032","15,052"
