NTA,Pop_1E,MaleEN,FemEN,PopUnd18N,PopOv65N,HispN,NotHispN,WhiteN,BlackN,NativeN,AsianN,PacificN,OtherRace1N,OtherRace2N,HHPop,HHINC_U10N,HHINC_10t14N,HHINC_15t24N,HHINC_25t34N,HHINC_35t49N,HHINC_50t74N,HHINC_75t99N,HHINC_100t149N,HHINC_150t199N,HHINC_200plN,Pop16yrsOver,Labor_forceN,CivilianLF,CLF_UnemployedN,PopOver25,EduOtherN,EduBachelor,EduGradProf,GardenCounts,HasGarden,FELONY_norm,MISDEMEANOR_norm,VIOLATION_norm,TOTAL_CRIME_norm
East New York,94448.0,0.4522912078604099,0.54770879213959,0.2754955107572421,0.09517406403523633,0.2697992546162968,0.7302007453837032,0.01712053193291547,0.6615915636117229,0.00048704048788751484,0.028650686091817718,0.0009740809757750297,0.008819667965441301,0.012557174318143316,32744.0,0.18855362814561447,0.07286831175177133,0.12371732225751282,0.10661495235768384,0.13697165892988028,0.14759956022477402,0.09583435133154164,0.08575616906914242,0.025134375763498657,0.016949670168580504,71139.0,0.5776437678348023,41057.0,0.11284312053973745,58164.0,0.8524688810948353,0.10642321711024,0.0411079017949247,36.0,1.0,0.1085994409622226,0.1808084872098933,0.03850796205319329,0.32791589022530915
East New York (Pennsylvania Ave),29447.0,0.44367847318911946,0.5563215268108805,0.2904540360647944,0.07715556762997929,0.2347607566135769,0.765239243386423,0.01901721737358644,0.7278839949740211,0.0027846639725608727,0.006723944714232349,0.0001358372669541889,0.0034638503073318163,0.005229734777736272,10079.0,0.25895426133545,0.07332076594900287,0.11806726857823195,0.09752951681714456,0.11786883619406688,0.14386347851969442,0.0791745212818732,0.07074114495485663,0.03343585673181863,0.007044349637860899,21926.0,0.5744321809723616,12595.0,0.15664946407304484,17552.0,0.8909525979945305,0.07811075660893345,0.030936645396536008,13.0,1.0,0.11603898529561585,0.19530003056338507,0.04557340306313037,0.3569124189221313
East Williamsburg,35985.0,0.4841461720161178,0.5158538279838821,0.13177712935945532,0.1263304154508823,0.2976517993608448,0.7023482006391552,0.4413505627344727,0.08684173961372793,0.0050020842017507285,0.1538974572738641,0.0008058913436153952,0.005252188411838265,0.009198277059886064,15964.0,0.09070408418942623,0.0712227511901779,0.12860185417188674,0.0829366073665748,0.10473565522425456,0.13499123026810322,0.11356802806314208,0.14056627411676273,0.0640190428464044,0.06865447256326736,31807.0,0.6897852673939698,21940.0,0.07985414767547858,27475.0,0.5806733393994541,0.3036214740673339,0.11570518653321203,7.0,1.0,0.08595248020008336,0.1382242601083785,0.034153119355286934,0.2583298596637488
Erasmus,29149.0,0.43881436755977904,0.5611856324402209,0.24831040515969674,0.12635081820988714,0.09753336306562832,0.9024666369343716,0.04219698788980754,0.8224638924148341,0.0005832104017290473,0.01540361590449072,0.0,0.0016810182167484305,0.02013791210676181,10053.0,0.11339898537749925,0.056102655923604895,0.10733114493186112,0.12384362876753208,0.15328757584800554,0.17238635233263702,0.12752412215259126,0.09370337212772306,0.03133393017009848,0.021088232368447233,22701.0,0.624377780714506,14174.0,0.10088895160152392,19184.0,0.7900854879065888,0.1423582151793161,0.06755629691409508,3.0,1.0,0.1120450101204158,0.17304195684243026,0.055267762187382066,0.3403547291502281
Flatbush,108653.0,0.4627944005227652,0.5372055994772349,0.24231268349700424,0.10770066173966664,0.18949315711485187,0.8105068428851482,0.22419077245911292,0.4515936053307318,0.0005614203013262403,0.10242699235179883,0.00010123972646866632,0.008964317598225543,0.0226684951174841,38418.0,0.09516372533708158,0.05312613878910928,0.11525847259097298,0.11736685928471027,0.12772658649591334,0.1911083346348066,0.11734082981935552,0.10549742308292988,0.04044978916133063,0.036961840803789885,84948.0,0.6488439986815464,55109.0,0.08504962891723675,71629.0,0.6652473160312165,0.20426084407153527,0.13049183989724833,2.0,1.0,0.052313327749809034,0.08959715792476967,0.02426992351798846,0.16618040919256716
Flatlands,72540.0,0.4610835401157982,0.5389164598842018,0.2287289771160739,0.13331954783567687,0.085456299972429,0.9145437000275709,0.15795423214778054,0.6980011028398125,0.0005652054039150812,0.04146677695064792,0.00015164047422111938,0.003970223325062035,0.01243451888613179,23073.0,0.055996186018289776,0.03770641008971525,0.07016859532787241,0.07385255493433884,0.12603475924240454,0.17596324708533784,0.15433623716031725,0.1762232912928531,0.0741992805443592,0.05551943830451177,58241.0,0.644545938428255,37530.0,0.09904076738609112,48562.0,0.6900457147563939,0.19336106420658128,0.11659322103702485,1.0,1.0,0.04838709677419355,0.0764957264957265,0.0213950923628343,0.14627791563275433
Fort Greene,30288.0,0.45001320655044896,0.5499867934495509,0.18132593766508187,0.12562731114632858,0.2140121500264131,0.7859878499735871,0.281959852086635,0.3705097728473323,0.000627311146328579,0.09696909667194928,0.0,0.002740359218172213,0.033181458003169566,12494.0,0.10837201856891307,0.05914839122778934,0.0924443732991836,0.08267968624939971,0.10533055866816073,0.12726108532095404,0.12061789659036334,0.11789659036337442,0.07411557547622859,0.1121338242356331,25298.0,0.6540437979286899,16546.0,0.10244167774688746,21722.0,0.5189669459534113,0.24555749930945586,0.2354755547371329,5.0,1.0,0.10251584786053884,0.2220351294241944,0.0411053882725832,0.3656563655573165
Georgetown-Marine Park-Bergen Beach-Mill Basin,47997.0,0.4828635123028522,0.5171364876971477,0.2417026064129008,0.16115590557743192,0.10663166447902994,0.8933683355209701,0.6761255911827823,0.1265079067441715,0.0,0.07458799508302602,0.0,0.0028335104277350666,0.013313332083255205,16788.0,0.03955206099594949,0.03526328329759352,0.06409340004765307,0.07952108649035025,0.10007147962830593,0.15254944007624496,0.1278294019537765,0.2077078865856564,0.09691446271146056,0.09649749821300928,37709.0,0.6295579304675276,23740.0,0.07135636057287277,32918.0,0.6229722340360897,0.22212771128258094,0.15490005468132936,0.0,0.0,0.03704398191553639,0.07510886097047732,0.01433422922265975,0.12648707210867347
Gravesend,30288.0,0.459554939249868,0.5404450607501321,0.21384706814580032,0.18234944532488115,0.14286185948230326,0.8571381405176968,0.5036648177496038,0.07871104067617539,0.003466719492868463,0.24874537770734284,0.0,0.000792393026941363,0.021757791864764925,11375.0,0.13591208791208792,0.08729670329670329,0.13714285714285715,0.10646153846153844,0.10795604395604397,0.14646153846153845,0.09626373626373626,0.10953846153846154,0.04087912087912088,0.03208791208791209,24649.0,0.5622134772201712,13845.0,0.10848681834597328,21165.0,0.6907630522088354,0.18799905504370426,0.12123789274746045,0.0,0.0,0.042591125198098254,0.0731973058637084,0.018258055995773903,0.13404648705758054
Greenpoint,33351.0,0.479415909567929,0.520584090432071,0.10077658840814367,0.09714851128901683,0.13013103055380648,0.8698689694461935,0.754610056669965,0.022068303798986538,0.0008695391442535456,0.05846901142394531,0.0002698569758028245,0.00554706005816917,0.028035141375071213,15869.0,0.07782468964648058,0.02703383956140904,0.08878946373432478,0.061188480685613465,0.08853739996219043,0.16100573445081606,0.14846556178713213,0.18715735080975487,0.07442182872266684,0.08557565063961182,30264.0,0.7545598731165741,22836.0,0.05539499036608863,27564.0,0.43738209258453054,0.3546655057321144,0.2079524016833551,0.0,0.0,0.05025336571617043,0.09079188030343918,0.021168780546310457,0.16221402656592007
Homecrest,44516.0,0.4902057687123731,0.5097942312876269,0.2811573366879324,0.14246563033516038,0.1000539131997484,0.8999460868002516,0.7788884895318537,0.009592056788570402,0.002426093988678228,0.08659807709587564,0.003571749483331836,0.0018420343247371727,0.017027585587204602,15575.0,0.08552166934189406,0.06125200642054575,0.1204494382022472,0.09296950240770466,0.12430176565008025,0.1607704654895666,0.11139646869983948,0.13714285714285715,0.05091492776886036,0.055280898876404486,33254.0,0.599687255668491,19942.0,0.08158660114331563,28762.0,0.6219317154578958,0.2332939294902997,0.14477435505180447,0.0,0.0,0.03567256716686135,0.06089945188246922,0.013006559439302722,0.1095785784886333
Kensington-Ocean Parkway,37676.0,0.4952224227625013,0.5047775772374987,0.2770463955833953,0.106407261917401,0.16073893194606645,0.8392610680539335,0.4978235481473618,0.07118590083873022,0.0008228049686803269,0.22337827794882684,0.0,0.005626924301942882,0.04042361184839155,12171.0,0.08692794347218799,0.054555911593131216,0.12250431353216662,0.1003204338180922,0.10886533563388384,0.17040506121107551,0.13408922849396104,0.12981677758606525,0.05447374907567168,0.03804124558376469,28137.0,0.628496286029072,17684.0,0.06497398778556887,23846.0,0.5979619223349828,0.2350079677933406,0.1670301098716766,1.0,1.0,0.028771631808047562,0.047351098842764616,0.016933857097356408,0.0930565877481686
Madison,40122.0,0.4898808633667315,0.5101191366332686,0.2084891082199292,0.174069089277703,0.08651114101988934,0.9134888589801108,0.6541797517571407,0.013633418074871641,0.0,0.2216489706395494,0.0016200588205971787,0.0014954389113204724,0.020911220776631274,14846.0,0.08392833086353227,0.05375185235080157,0.09995958507342044,0.08305267412097535,0.11841573487808164,0.1657685571871211,0.1163276303381382,0.1544523777448471,0.058264852485517986,0.06607840495756433,32743.0,0.5772226124667867,18900.0,0.0582010582010582,28322.0,0.5904597132970836,0.2479697761457524,0.16157051055716404,0.0,0.0,0.03686256916404965,0.04912516823687752,0.012486914909525946,0.09847465231045313
Midwood,53377.0,0.4821365007400191,0.5178634992599809,0.27165258444648444,0.14901549356464394,0.07267175000468366,0.9273282499953164,0.7471570151938101,0.052719336043614284,0.0016299155066789067,0.11139629428405493,0.0,0.001723588811660453,0.012702100155497687,18697.0,0.12670481895491256,0.07354120981975718,0.11381505054286785,0.09247472856608012,0.11648927635449538,0.14200139059742206,0.09707439696207948,0.11210354602342623,0.05289618655399262,0.07289939562496657,40368.0,0.5838287752675386,23511.0,0.09170175662455872,33648.0,0.5748632905373277,0.2455123632905373,0.17962434617213505,0.0,0.0,0.027708563613541414,0.04503812503512749,0.011933979054649008,0.0846806677033179
North Side-South Side,54330.0,0.5033683048039757,0.4966316951960243,0.1778023191606847,0.06922510583471378,0.3488312166390576,0.6511687833609424,0.5258788882753543,0.029099944781888463,0.0,0.07047671636296705,0.0005153690410454629,0.0039572979937419475,0.02124056690594515,23134.0,0.08506959453618053,0.05835566698366041,0.06838419642085243,0.07871531079795971,0.09764848275265844,0.12055848534624362,0.1116970692487248,0.1535834702169966,0.09475231261346936,0.1312354110832541,45544.0,0.7501756543123134,34166.0,0.058566996429198624,40554.0,0.444148542683829,0.3599891502687774,0.1958623070473936,7.0,1.0,0.07551997055034051,0.11704399042886067,0.023670163813730903,0.21623412479293208
Ocean Hill,34025.0,0.4542836149889787,0.5457163850110213,0.2781190301249081,0.10489346069066864,0.20358559882439384,0.7964144011756061,0.03850110213078619,0.7275826598089641,0.000852314474650992,0.018750918442321823,0.0,0.0019397501836884645,0.00878765613519471,12625.0,0.16665346534653466,0.091009900990099,0.1295049504950495,0.1078019801980198,0.13996039603960395,0.1756039603960396,0.08435643564356436,0.06257425742574257,0.02518811881188119,0.017346534653465348,25716.0,0.582944470368642,14991.0,0.10226135681408843,20948.0,0.8119629558907772,0.1388676723314875,0.04916937177773535,11.0,1.0,0.1050991917707568,0.1731373989713446,0.04626010286554005,0.32449669360764144
Ocean Parkway South,21253.0,0.4948948383757587,0.5051051616242412,0.3244247870888816,0.1382863595727662,0.08154142944525479,0.9184585705547452,0.8255305133392933,0.010774949418905564,0.01416270644144356,0.050910459699807085,0.0,0.0002352609043429163,0.016844680750952808,6832.0,0.09982435597189697,0.043325526932084316,0.13173302107728338,0.0857728337236534,0.1131440281030445,0.1554449648711944,0.094115925058548,0.1213407494145199,0.06001170960187354,0.09528688524590163,15103.0,0.5822684234920215,8794.0,0.06356606777348192,12226.0,0.605185669883854,0.22313103222640274,0.17168329788974318,0.0,0.0,0.02310262080647438,0.041782336611301936,0.013315767185809062,0.07820072460358538
Park Slope-Gowanus,73881.0,0.481152123008622,0.518847876991378,0.1964645849406478,0.09045627427890797,0.16670050486593305,0.8332994951340671,0.6691300875732596,0.04412501184336974,0.001583627725666951,0.07007214304083594,0.0,0.006077340588243256,0.04231128436269136,31147.0,0.038430667480014134,0.023084085144636723,0.03242687899316146,0.03538061450540983,0.07297653064500594,0.11821363213150544,0.11946575914213245,0.1886859087552573,0.13205124088997336,0.2392846823129033,60537.0,0.7858004195781093,47538.0,0.04718330598678951,55408.0,0.2434666474155357,0.35973144672249496,0.3968019058619694,11.0,1.0,0.040619374399371966,0.07000446664230316,0.02068190739161625,0.13130574843329135
park-cemetery-etc-Brooklyn,375.0,0.5893333333333334,0.4106666666666667,0.14400000000000002,0.013333333333333334,0.22666666666666666,0.7733333333333333,0.5786666666666667,0.06133333333333332,0.0,0.07466666666666667,0.0,0.042666666666666665,0.016,165.0,0.0,0.0,0.0,0.09696969696969696,0.03636363636363636,0.10909090909090907,0.2484848484848485,0.19393939393939394,0.13333333333333333,0.18181818181818185,321.0,0.9657320872274144,310.0,0.08709677419354839,300.0,0.36666666666666653,0.43666666666666665,0.19666666666666666,0.0,0.0,2.861333333333333,5.386666666666668,0.8613333333333333,9.109333333333334
Prospect Heights,20493.0,0.4866539794076026,0.5133460205923974,0.1609817986629581,0.1027180012687259,0.1143317230273752,0.8856682769726248,0.5058312594544478,0.24837749475430634,0.0016591031083784708,0.07295173961840629,0.0,0.0042941492216854536,0.05255453081540038,9331.0,0.05647840531561463,0.03279391276390526,0.066230843425142,0.06355160218626085,0.08948665737863037,0.13021112420962386,0.10888436394812988,0.1902261279605616,0.10663380130746973,0.15550316150466187,17456.0,0.7694202566452796,13418.0,0.05596959308391713,16154.0,0.32252073789773433,0.32741116751269034,0.3500680945895753,4.0,1.0,0.04928512174888987,0.08012492070463086,0.020153223051773774,0.1495632655052945
