ntaname,FELONY,MISDEMEANOR,VIOLATION,TOTAL_CRIME,Population,GardenCounts,FELONY_norm,MISDEMEANOR_norm,VIOLATION_norm,TOTAL_CRIME_norm
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,4782.0,10836.0,2252.0,17870.0,42245.0,5.0,0.11319682802698544,0.2565037282518641,0.05330808379689904,0.4230086400757486
Douglas Manor-Douglaston-Little Neck,620.0,766.0,278.0,1664.0,25738.0,1.0,0.024088895796099154,0.029761442225503146,0.010801150050508974,0.06465148807211127
Dyker Heights,975.0,1812.0,596.0,3383.0,45877.0,0.0,0.021252479455936526,0.03949691566580204,0.012991259236654533,0.0737406543583931
East Concourse-Concourse Village,3096.0,7653.0,1276.0,12025.0,64516.0,9.0,0.047988095976191955,0.11862173724347448,0.01977803955607911,0.18638787277574556
East Elmhurst,1378.0,2339.0,606.0,4323.0,21760.0,1.0,0.06332720588235294,0.10749080882352942,0.027849264705882355,0.1986672794117647
East Flatbush-Farragut,3511.0,4951.0,1605.0,10067.0,53535.0,3.0,0.06558326328570094,0.09248155412347063,0.02998038666293079,0.18804520407210237
East Flushing,598.0,748.0,263.0,1609.0,26436.0,0.0,0.022620668784990167,0.02829474958390074,0.009948555000756544,0.06086397336964745
East Harlem North,6020.0,16902.0,2802.0,25724.0,61031.0,24.0,0.09863839688027395,0.27694122658976583,0.04591109436188167,0.4214907178319215
East Harlem South,3475.0,8232.0,1658.0,13365.0,59777.0,16.0,0.05813272663398966,0.13771182896431738,0.027736420362346723,0.22358097596065377
East New York,10257.0,17077.0,3637.0,30971.0,94448.0,36.0,0.1085994409622226,0.1808084872098933,0.03850796205319329,0.32791589022530915
East New York (Pennsylvania Ave),3417.0,5751.0,1342.0,10510.0,29447.0,13.0,0.11603898529561585,0.19530003056338507,0.04557340306313037,0.35691241892213127
East Tremont,3723.0,8041.0,1732.0,13496.0,44510.0,13.0,0.08364412491574927,0.1806560323522804,0.03891260390923388,0.30321276117726353
East Village,3461.0,5568.0,818.0,9847.0,43022.0,13.0,0.08044721305378644,0.12942215610617824,0.019013527962437823,0.22888289712240248
East Williamsburg,3093.0,4974.0,1229.0,9296.0,35985.0,7.0,0.08595248020008336,0.1382242601083785,0.03415311935528693,0.2583298596637488
Eastchester-Edenwald-Baychester,1582.0,3432.0,791.0,5805.0,35172.0,1.0,0.04497896053679063,0.09757761856021835,0.022489480268395316,0.16504605936540429
Elmhurst,4326.0,9562.0,1155.0,15043.0,83663.0,0.0,0.05170744534621039,0.11429186139631617,0.013805385893405688,0.17980469263593224
Elmhurst-Maspeth,917.0,1198.0,366.0,2481.0,26460.0,0.0,0.034656084656084656,0.04527588813303099,0.013832199546485261,0.0937641723356009
Erasmus,3266.0,5044.0,1611.0,9921.0,29149.0,3.0,0.11204501012041579,0.17304195684243026,0.05526776218738207,0.34035472915022813
Far Rockaway-Bayswater,4071.0,5841.0,2096.0,12008.0,54264.0,0.0,0.07502211410880141,0.10764042459088899,0.03862597670647206,0.22128851540616246
