ntaname,FELONY,MISDEMEANOR,VIOLATION,TOTAL_CRIME,Population,GardenCounts,FELONY_norm,MISDEMEANOR_norm,VIOLATION_norm,TOTAL_CRIME_norm
Whitestone,798.0,1319.0,426.0,2543.0,31090.0,0.0,0.025667417175940815,0.04242521711161145,0.013702155033772917,0.08179478932132518
Williamsbridge-Olinville,3683.0,7086.0,1705.0,12474.0,65043.0,1.0,0.056624079455129685,0.10894331442276647,0.026213428039912057,0.1917808219178082
Williamsburg,549.0,1116.0,312.0,1977.0,33767.0,1.0,0.01625847721147866,0.03305001924956318,0.009239790327834868,0.05854828678887671
Windsor Terrace,426.0,681.0,235.0,1342.0,22031.0,1.0,0.01933638963279016,0.030910989060868775,0.010666787708229312,0.06091416640188825
Woodhaven,2554.0,4097.0,1253.0,7904.0,62821.0,0.0,0.04065519491889655,0.0652170452555674,0.01994555960586428,0.12581779978032823
Woodlawn-Wakefield,1916.0,3279.0,774.0,5969.0,44064.0,0.0,0.043482207697893974,0.0744144880174292,0.017565359477124183,0.13546205519244736
Woodside,1622.0,2768.0,711.0,5101.0,45702.0,0.0,0.035490788149315125,0.060566277186994005,0.015557306025994486,0.11161437136230362
Yorkville,1593.0,2383.0,558.0,4534.0,81278.0,0.0,0.01959939959152538,0.029319126947021334,0.006865326410590812,0.05578385294913753
park-cemetery-etc-Bronx,1121.0,2577.0,430.0,4128.0,1777.0,1.0,0.63083849184018,1.4501969611705121,0.24198086662915025,2.3230163196398426
park-cemetery-etc-Brooklyn,1073.0,2020.0,323.0,3416.0,375.0,0.0,2.8613333333333335,5.386666666666667,0.8613333333333333,9.109333333333334
park-cemetery-etc-Manhattan,1342.0,2722.0,507.0,4571.0,1765.0,2.0,0.7603399433427762,1.5422096317280454,0.28725212464589234,2.589801699716714
park-cemetery-etc-Queens,946.0,1907.0,197.0,3050.0,366.0,0.0,2.5846994535519126,5.2103825136612025,0.5382513661202186,8.333333333333334
